invoice_no;customer_id;gender;age;category;quantity;price;payment_method;invoice_date;shopping_mall;Total_Amount;year;month;YearMonth;Quarter_of_Year;Age_Group
I138884;C241288;Female;28;Clothing;5;1500.4;Credit Card;5/08/2022;Kanyon;7502;2022;8;2022-08;3;Adult
I317333;C111565;Male;21;Shoes;3;1800.51;Debit Card;12/12/2021;Forum Istanbul;5401.53;2021;12;2021-12;4;Young
I127801;C266599;Male;20;Clothing;1;300.08;Cash;9/11/2021;Metrocity;300.08;2021;11;2021-11;4;Young
I173702;C988172;Female;66;Shoes;5;3000.85;Credit Card;16/05/2021;Metropol AVM;15004.25;2021;5;2021-05;2;Senior
I337046;C189076;Female;53;Books;4;60.6;Cash;24/10/2021;Kanyon;242.4;2021;10;2021-10;4;Senior
I227836;C657758;Female;28;Clothing;5;1500.4;Credit Card;24/05/2022;Forum Istanbul;7502;2022;5;2022-05;2;Adult
I121056;C151197;Female;49;Cosmetics;1;40.66;Cash;13/03/2022;Istinye Park;40.66;2022;3;2022-03;1;Senior
I293112;C176086;Female;32;Clothing;2;600.16;Credit Card;13/01/2021;Mall of Istanbul;1200.32;2021;1;2021-01;1;Adult
I293455;C159642;Male;69;Clothing;3;900.24;Credit Card;4/11/2021;Metrocity;2700.72;2021;11;2021-11;4;Senior
I326945;C283361;Female;60;Clothing;2;600.16;Credit Card;22/08/2021;Kanyon;1200.32;2021;8;2021-08;3;Senior
I306368;C240286;Female;36;Food & Beverage;2;10.46;Cash;25/12/2022;Metrocity;20.92;2022;12;2022-12;4;Adult
I139207;C191708;Female;29;Books;1;15.15;Credit Card;28/10/2022;Emaar Square Mall;15.15;2022;10;2022-10;4;Adult
I640508;C225330;Female;67;Toys;4;143.36;Debit Card;31/07/2022;Metrocity;573.44;2022;7;2022-07;3;Senior
I179802;C312861;Male;25;Clothing;2;600.16;Cash;17/11/2022;Cevahir AVM;1200.32;2022;11;2022-11;4;Adult
I336189;C555402;Female;67;Clothing;2;600.16;Credit Card;3/06/2022;Kanyon;1200.32;2022;6;2022-06;2;Senior
I688768;C362288;Male;24;Shoes;5;3000.85;Credit Card;7/11/2021;Viaport Outlet;15004.25;2021;11;2021-11;4;Young
I294687;C300786;Male;65;Books;2;30.3;Debit Card;16/01/2021;Metrocity;60.6;2021;1;2021-01;1;Senior
